Dataset Name,Archive Type,Proxy Type,Minimum Year,Maximum Year,Latitude,Longitude,DOI
Njulla.Bigler.2003,lake sediment,chironomid,-8320.11,1998,68.37,18.7,10.1023/A:1022850925937
PL-96.Voronina.2001,marine sediment,dinocyst,-6611.2,1747.24,71.7363,42.6052,10.1002/jqs.650
Sutherland.Shuman.2016,lake sediment,pollen,-9050,1900,41.39,-74.2,10.1016/j.quascirev.2016.03.009
YakYakumo.Leipe.2013,lake sediment,pollen,-3556,1910,42.2842,140.2594,10.1016/j.quaint.2012.07.014
MD94-103.Sicre.2005,marine sediment,alkenone,-48108,-3090,-45.583,86.533,10.1016/j.epsl.2005.09.032
Nikolay.Andreev.2004,lake sediment,chironomid,-8253.4,1890.678,73.3333,124.2,10.1016/j.palaeo.2004.02.010
SacredLake,lake sediment,GDGT,-45780,1887,0.08,37.53,10.1016/j.epsl.2012.09.031
IOW225517.Emeis.2003,marine sediment,alkenone,-9440,130,57.7,7.1,10.1191/0959683603hl634rp
M40-4-SL78.Emeis.2003,marine sediment,alkenone,-9430,1930,37.036,13.19,10.1191/0959683603hl622ed
OCE326GGC30,marine sediment,alkenone,-10970,1950,44.0,-63.0,10.1029/2006GL028495
NorthLake.Axford.2013,lake sediment,chironomid,-5151.53,2006,69.2417,-50.0267,10.1016/j.quascirev.2012.10.024
GeoB12610-2.Rippert.2015,marine sediment,Mg/Ca,-31340,1600,-4.8167,39.4237,10.1002/jqs.2767
candelabra..1995,lake sediment,pollen,-10617,1598,61.68,-130.65,10.7202/033027ar
LagoVerdarolo.Samartin.2011,lake sediment,chironomid,-11770,2009,44.36,10.12,10.1038/NGEO2891
andy..1995,lake sediment,pollen,-11242,1950,64.65,-128.0833,10.1016/0031-0182(95)00070-3
HU91.deVernal.2013,marine sediment,dinocyst,-4805.8,401.2,77.2667,-74.3317,10.1016/j.quascirev.2013.07.006
Vouskku.Larocque.2004,lake sediment,chironomid,-8250,1950,68.33,19.1,10.1016/j.quascirev.2004.04.006
Gilltjarnen.Antonsson.2006,lake sediment,hybrid,-7004.76121,1950,60.08,15.83,10.1002/jqs.1004
M350034.Rhlemann,lake sediment,alkenone,-12730,1950,12.1,-61.2,10.1038/990069
grostjorn..2009,lake sediment,pollen,-6964,1997,58.5333,7.7333,10.5194/cp-5-523-2009
74KL_UK37.Huguet.2006,marine sediment,alkenone,-12850,1750,14.3,57.3,10.1029/2005PA001215
ODP984.Came.2007,marine sediment,Mg/Ca,-8472.9,1396.2,61.4,-24.1,10.1130/G23455A.1
dalmutladdo..2004,lake sediment,pollen,-8564,1950,69.17,20.72,10.1080/03009480410001244
LS009.Ledu.2010,marine sediment,dinocyst,-8871,-84.7,74.187,-81.195,10.1016/j.quascirev.2010.06.018
flotatjonn..2009,lake sediment,pollen,-7070.71,1993.5,59.6667,7.55,10.5194/cp-5-523-2009
QuartzLake.Wooller.2012,lake sediment,chironomid,-8999,1173,64.206,-145.814,10.1007/s10933-012-9610-9
NIOP905_UK37,marine sediment,alkenone,-12701,1931,10.6,51.9,10.1029/2005PA001215
Raigastvere.Sepp.2004,lake sediment,hybrid,-6973,1950,58.5833,26.65,10.1016/j.yqres.2003.08.005
LagoGeminiInferiore.Samartin.2011,lake sediment,chironomid,-12070,2008,44.39,10.05,10.1038/NGEO2891
Kurupa.Boldt.2015,lake sediment,chlorophyll,-3643.69,2002.9094,68.35,-154.61,10.1177/0959683614565929
Okoboji.Shuman.2016,lake sediment,pollen,-9050,1950,43.3684,-95.1513,10.1016/j.quascirev.2016.03.009
GISP2.Kobashi.2017,ice,15N/40Ar,-9562,1993,72.6,-38.5,10.1038/s41598-017-01451-7
893A.Cannariato.2005,marine sediment,foraminifera,-8051.92164,1941.030303,34.2875,-120.036,10.1130/G21065.1
BS7933,marine sediment,alkenone,-27540,1090,38.25,14.02,10.1029/2000PA000502
iglutalik..2004,lake sediment,pollen,-8318.932374,1974.346469,66.14,-66.08,10.1016/j.quascirev.2004.03.013
KaiteCobreMayor.Martin-Chivelet.2011,speleothem,d13C,-2055,2000,42.7918,-3.8496,10.1016/j.gloplacha.2011.02.002
RuilaLake.Sepp.2004,lake sediment,pollen,-8062.5,1950,59.17,24.43,10.1016/j.yqres.2003.08.005
ODP1098B,marine sediment,TEX86,-9819,1870,-64.2,-64.86,
klotjarnen..2009,lake sediment,pollen,-6992.028,1998.18752,61.82,14.58,10.5194/cp-5-523-2009
vuoskkujavri..2002,lake sediment,pollen,-6460.04,1991.63,68.33,19.1,10.1191/0959683602hl559rp
GIK23258.Sarnthein.2003,marine sediment,d18O,-7144,955,75.0,14.0,10.1080/03009480310003351
NP04KH3KH4,marine sediment,TEX86,-12630,637,-6.7,29.8,10.1126/science.1160485
Deep.Shuman.2016,lake sediment,pollen,-9050,1950,41.624346,-70.577788,10.1016/j.quascirev.2016.03.009
MD972121,marine sediment,alkenone,-10514.9,-1366.25,-40.4,178.0,10.1029/2005PA001191
Kharinei.Jones.2011,lake sediment,chironomid,-9552.689549,2003.246277,67.3628,62.7507,10.1007/s10933-011-9528-7
MoonLake.Shuman.2016,lake sediment,pollen,-9050,1950,46.86,-98.16,10.1016/j.quascirev.2016.03.009
gunnarsfjorden..2007,lake sediment,pollen,-7174.107,1989.756134,71.0383,28.1685,10.1016/j.quascirev.2007.02.009
holebudalen..2009,lake sediment,chironomid,-8998.19,1959.54,59.83,6.98,10.5194/cp-5-523-2009
arapisto..2007,lake sediment,pollen,-6938.5,1950,60.58,24.8,10.1177/0959683607077020
KP2.Sepp.2009,lake sediment,pollen,-7047,1950,68.8,35.32,10.5194/cp-5-523-2009
SO136GC11.Barrows.2007,marine sediment,alkenone,-11880,1900,-43.5,167.9,10.1126/science.1145873
Vostok_Antarctica,marine sediment,dD,-9692,1950,-78.5,108.0,10.1038/20859
k2..2005,lake sediment,chironomid,-4767.176446,1998,58.7347,-65.9342,10.1016/j.palaeo.2004.07.006
Soylegrotta.Lauritzen.1999,speleothem,d18O,-8005.221649,1813.497047,66.62,13.68,10.1191/095968399667823929
V2130,marine sediment,Mg/Ca,-25522.42857,-484.545455,1.22,-89.68,10.1029/2003PA000894
GrahamLake.Shuman.2016,lake sediment,pollen,-9050,1950,45.1902,-77.357,10.1016/j.quascirev.2016.03.009
BJ8_70GGC,marine sediment,Mg/Ca,-12176,1843,-3.6,119.4,10.1038/ngeo920
HangingLake.Kurek.2009,lake sediment,chironomid,-13652.3,1950,68.4,-138.4,10.1016/j.yqres.2009.04.007
ODP1671017E,marine sediment,alkenone,-8274,1950,34.535,-121.107,10.2973/odp.proc.sr.167.223.2000
TsuolbmajavriLake.Sepp.2009,lake sediment,chironomid,-7017,1995,68.41,22.05,10.5194/cp-5-523-2009
TsuolbmajavriLake.Sepp.2009,lake sediment,pollen,-7017,1995,68.41,22.05,10.5194/cp-5-523-2009
Rice.Shuman.2016,lake sediment,pollen,-9050,1950,48.01,-101.53,10.1016/j.quascirev.2016.03.009
ToskaljavriLake.Sepp.2009,lake sediment,pollen,-7550,1950,69.2,21.47,10.5194/cp-5-523-2009
PL0739PC.Lea.2003,marine sediment,Mg/Ca,-12127,1485,10.7,-65.0,10.1126/science.1088470
KR02.Peros.2008,lake sediment,pollen,-8151.5,1998.9843,71.34,-113.78,10.1016/j.quascirev.2007.09.002
GIK232582.Sarnthein.2003,marine sediment,d18O,-11961,1252,75.0,14.0,10.1029/2002PA000769
Steel.Shuman.2016,lake sediment,pollen,-9050,1950,46.97,-94.68,10.1016/j.quascirev.2016.03.009
Ranger..1983,lake sediment,pollen,-33575,1950,67.1472,-153.65,10.1016/0033-58948390077-7
CH0798GGC19,marine sediment,alkenone,-9950,1430,36.9,-74.6,10.1029/2006GL028495
GeoB59012.Kim.2004,marine sediment,alkenone,-7662.5,820,36.4,-7.1,10.1016/j.quascirev.2004.08.010
TrehorningenLake.Antonsson.2007,lake sediment,pollen,-6944,1950,58.55,11.6,10.1080/03009480701317421
MD01-2446.Salguero.2014,marine sediment,foraminifera,-18062,-340,39.0558,-12.624,10.1016/j.quascirev.2014.09.001
MD01-2416.Sarnthien.2004,marine sediment,foraminifera,-9970,-3682,51.268,167.725,10.1016/j.quascirev.2004.08.008
MD01-2416.Sarnthien.2004,marine sediment,Mg/Ca,-9970,-3682,51.268,167.725,10.1016/j.quascirev.2004.08.008
Myrvatn.Sepp.2009,lake sediment,pollen,-6943.76,1992.4,68.65,16.3833,10.5194/cp-5-523-2009
GeoB65181_MBT.Weijers.2007,marine sediment,GDGT,-12740,1920,-5.6,11.2,10.1126/science.1138131
TY93-905.Kim.2004,marine sediment,alkenone,-9470,1950,11.0667,51.95,10.1594/PANGAEA.761700
sjuuodjijaure..2001,lake sediment,hybrid,-7367,1950,67.37,18.07,10.1191/095968301680223503
Cadagno.Niemann.2012,lake sediment,GDGT,-8992,1993.5,46.5507,8.7139,10.5194/cp-8-889-2012
TrettetjornLake.Bjune.2005,lake sediment,pollen,-6576.963206,2002,60.72,7.0,10.1191/0959683605hl798rp
JR51-GC35..2007,marine sediment,alkenone,-8220.63,1888.13,67.59,-17.56,10.1177/0959683607073269
MD012378.Xu.2008,lake sediment,Mg/Ca,-13218.35,1217.75,13.1,121.8,10.1016/j.epsl.2008.06.029
honeymoon..1991,lake sediment,pollen,-8845,1933,64.6333,-138.4,10.2307/1938915
182873.Kienast.2001,marine sediment,alkenone,-12935,-1439,5.7,110.7,10.1126/science.1057131
GGC19.Farmer.2011,marine sediment,d18O,-4561.9,1534.57,72.16,-155.51,10.1029/2011GL049714
