Dataset Name,Archive Type,Proxy Type,Minimum Year,Maximum Year,Latitude,Longitude,DOI
HAP0212.vanderBilt.2016,lake sediment,alkenone,-9167.3,1416.3,79.2593,11.5178,10.1016/j.quascirev.2016.10.006
bjornfjelltjorn..2006,lake sediment,pollen,-6910.14,1995,68.4333,18.0667,10.1016/j.quascirev.2005.03.021
ME005A43JC,marine sediment,Mg/Ca,-13610,1458,7.9,-83.6,10.1029/2005PA001208
Core17940,marine sediment,alkenone,-12565,1936.5,20.1,117.4,10.1029/1998PA900015
O2kLR-NorthwestPac.Harada.2004,marine sediment,alkenone,-15380,1370,46.32,152.53,10.1029/2004GC000740
GeoB58442.Arz.2003,marine sediment,alkenone,-13196.9,1136.8,27.7,34.7,10.1126/science.1080325
Meleze.MacDonald.1983,lake sediment,pollen,-11749,1982,65.2167,-126.1167,10.1038/361243a0
Oykjamyrtjorn.Bjune.2005,lake sediment,chironomid,-9020.879146,2001.005381,59.82,6.0,10.1191/0959683605hl798rp
berkut..2005,lake sediment,chironomid,-8168,1950,66.35,36.67,10.1191/0959683605hl865ra
IOW225514.Emeis.2003,marine sediment,alkenone,-4482.2,1500.89,57.838,8.704,10.1191/0959683603hl634rp
